#Simulation Analysis Results CSV File 2019-06-07T10:27:05.535428,,,
"#Generated on structure: ""frame000000""",,,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_Heme_Fe-FMN_C7M,Rad_Gyration_CPR-glob
7800,37.811653137207,16.6670055389404,27.9633450003908
7950,36.4057502746582,16.6904354095459,28.1790726620115
8100,37.3556900024414,16.1800765991211,28.1523979749784
8250,36.8943176269531,15.8310708999634,28.0584786786527
8400,38.1001586914062,16.0418109893799,28.204721445862
8550,37.880069732666,16.8550834655762,27.9902201074119
8700,37.6827430725098,16.2033958435059,27.9125327555343
8850,37.2243385314941,15.7143306732178,28.0678148552789
9000,37.0953025817871,15.9576683044434,28.1097058956145
9150,35.974048614502,16.1674919128418,27.9591264503412
9300,36.702507019043,16.8885021209717,27.9918031549249
9450,36.4669189453125,16.544527053833,27.986873403413
9600,35.4442939758301,16.3841533660889,27.7929396303929
9750,35.3558464050293,17.4954032897949,27.9444620443767
9900,36.2077255249023,16.9323558807373,28.1699802484303
10050,35.971622467041,17.5106773376465,27.773811064946
10200,36.4806747436523,17.2640647888184,27.9378115120817
10350,36.8004722595215,16.328483581543,27.7448392634665
10500,35.4386138916016,16.907901763916,27.558436452943
10650,35.606143951416,16.9919986724854,27.6227436990778
10800,35.7293128967285,17.1694774627686,27.7192834182091
10950,35.6073608398437,16.7969074249268,27.8003840455042
11100,35.245059967041,17.0961151123047,27.9387106834362
11250,36.2715339660645,17.0860767364502,27.8227788991831
11400,36.7489738464355,17.2203235626221,27.8099732741327
11550,35.4150314331055,17.7876224517822,27.7193172119848
11700,38.0407562255859,16.6732196807861,27.8314148139286
11850,36.6001281738281,16.1202087402344,27.6787210159084
12000,37.2711181640625,16.8284034729004,27.9544363675149
12150,37.7961502075195,17.0483245849609,28.1674611783666
12300,37.4590301513672,16.7722492218018,28.1179564809998
12450,37.2188835144043,16.7332229614258,27.7993207802816
12600,37.7188873291016,16.9012298583984,28.0566637808216
12750,38.4854316711426,18.0158920288086,28.2012425946774
12900,36.7696990966797,19.1391220092773,28.0178530789799
13050,37.1701774597168,18.0515727996826,28.1303248546045
13200,37.3547096252441,17.6991863250732,27.8592052311911
13350,38.2897453308105,18.4564476013184,27.8430460965961
13500,37.7158050537109,17.9571189880371,27.8116667329587
13650,38.8052215576172,18.6487216949463,27.9935672378356
13800,37.1807594299316,17.7873229980469,27.8518308910694
13950,36.1444396972656,18.0604648590088,27.740672987655
14100,37.2539215087891,17.1646671295166,27.7743341899886
14250,37.8385620117187,18.3028659820557,27.970307439643
14400,35.3647651672363,18.6447906494141,27.6862665333007
14550,36.5744514465332,15.8242244720459,27.7500925706971
14700,38.0482521057129,16.4607353210449,27.9370378293614
14850,39.0110816955566,16.0242443084717,28.0587186152217
15000,38.0453910827637,17.460470199585,27.9661129468051
15150,37.9016265869141,16.7586650848389,28.0092581755032
15300,36.4324989318848,16.3691005706787,28.1978986343427
15450,38.8766212463379,16.2956619262695,28.3160993453258
15600,37.7091789245605,16.260425567627,28.2566833995723
15750,38.1576881408691,17.19895362854,28.2885206011708
15900,37.8886680603027,16.9335746765137,28.2656688705689
16050,37.7052001953125,15.7254447937012,28.1020824096974
16200,35.765193939209,17.0749797821045,27.8860746355635
16350,35.5400314331055,18.2001857757568,27.623961579017
