#Simulation Analysis Results CSV File 2019-01-24T09:22:49.977794,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8M-FMN_C8M,Distance_FMN_C7M-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
25500,29.9997386932373,19.8293476104736,28.8077643779619,11
25650,27.5469264984131,21.9736385345459,28.5377524926577,11
25800,27.8073387145996,20.6568489074707,28.8095385993648,11
25950,30.0678787231445,19.9628925323486,28.7424681050055,13
26100,27.4366931915283,21.1644649505615,28.727729760662,11
26250,27.5697441101074,21.5014705657959,28.5918790255517,12
26400,29.6124095916748,21.0506744384766,28.6447320966027,11
26550,29.440845489502,21.5552101135254,28.4272077817961,12
26700,27.6184043884277,20.8408355712891,28.4888610633079,12
26850,28.0215511322021,21.2319717407227,28.5660986450487,12
27000,28.0896492004395,20.6231784820557,28.6077870787468,13
27150,28.8309268951416,20.4336490631103,28.7737501656505,12
27300,26.9523849487305,19.3730525970459,28.5309907264137,13
27450,30.2757568359375,20.3269329071045,28.8033951019591,11
27600,27.5103511810303,21.4968223571777,28.7116201369835,15
27750,27.3836727142334,20.8578147888184,28.58708328812,12
27900,27.558277130127,21.2317714691162,28.3593856033167,12
28050,28.4623012542725,22.0363311767578,28.6583917496849,12
28200,28.6519336700439,20.7693176269531,28.4674233419752,11
28350,29.2936973571777,19.8619937896729,28.6384696210468,10
28500,28.0929737091064,19.7521171569824,28.6285600689345,12
28650,27.3526248931885,19.8514633178711,28.4339660189007,12
28800,27.41015625,21.2527923583984,28.5641792910065,9
28950,27.7978057861328,20.6024894714355,28.6922121852622,11
29100,27.7813987731934,21.5955181121826,28.4609402763244,13
29250,28.0251426696777,20.3125457763672,28.5890979893656,11
29400,28.9926090240478,21.2773303985596,28.5253404799582,14
29550,28.7923336029053,21.5450954437256,28.5647899353652,13
29700,26.5921401977539,21.3737831115723,28.4651270363782,10
29850,27.2314529418945,20.9928455352783,28.6195763681299,10
30000,27.4048862457275,22.5256004333496,28.3789425359821,9
30150,29.2691173553467,22.9657573699951,28.7824530812123,11
30300,29.1134929656982,22.2437362670898,28.4946633754127,11
30450,26.59645652771,21.923677444458,28.5282610012925,11
30600,28.0174160003662,20.4520988464355,28.7093964807815,11
30750,29.008846282959,22.0957832336426,28.5638734374819,11
30900,29.2537364959717,22.7306232452393,28.8103431604381,12
31050,29.214075088501,21.9060039520264,28.8112877147796,10
31200,29.4488162994385,21.5076866149902,28.5171928258943,12
31350,28.6371078491211,21.9251461029053,28.6211188276946,11
31500,28.5063591003418,21.0610466003418,28.3531514595947,12
31650,29.3420333862305,21.0154705047607,28.5188170923221,9
31800,28.364803314209,21.6243209838867,28.2630850852104,10
31950,28.3182601928711,21.6317920684814,28.438026855958,10
32100,27.9707298278809,20.4992713928223,28.4962044237366,10
32250,28.4870128631592,21.9598083496094,28.5613597755433,12
32400,28.5387516021729,21.4688911437988,28.3920619959653,11
32550,28.8748073577881,20.8590774536133,28.3534373116086,10
32700,27.3251914978027,21.218578338623,28.5259086409903,10
32850,27.7946701049805,21.5051403045654,28.2775262868051,10
33000,27.0583038330078,21.6462001800537,28.0667041802596,11
33150,29.6713619232178,20.7144432067871,28.3131091457387,14
33300,28.1026802062988,21.619104385376,28.1739154017327,11
33450,28.4404182434082,21.2212657928467,28.5064831740858,9
33600,27.9527416229248,21.2528457641602,28.4319744553925,9
33750,27.5658626556396,21.1397762298584,28.2736723632159,7
33900,29.3934116363525,21.7361679077148,28.2133923802438,8
34050,29.0159149169922,20.8969383239746,28.623765819376,9
34200,29.2328090667725,20.7495307922363,28.3984187490333,5
34350,27.8512535095215,21.8069267272949,28.2761277203365,6
34500,27.4469547271728,22.1946258544922,28.3896424506285,7
34650,28.4393291473389,21.2586727142334,28.1911500911757,7
34800,28.9867668151855,23.2467708587646,28.3983809091319,7
34950,30.6681003570557,22.3323726654053,28.5765861953058,8
35100,27.6581535339355,21.434154510498,28.2200644740528,8
35250,29.5127429962158,21.3026542663574,28.4105460023452,9
35400,27.8338222503662,22.500919342041,28.2438078371254,7
35550,28.4940147399902,21.2141990661621,28.2344525148258,10
35700,28.8620548248291,21.1289978027344,28.5005716023425,9
35850,30.809850692749,20.0717487335205,28.6340515267574,10
36000,29.9800357818604,22.1864070892334,28.443398769508,9
