#Simulation Analysis Results CSV File 2019-01-03T11:47:22.820065,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8-FMN_C8,Distance_FMN_C7-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
26850,27.7054119110107,17.7290267944336,27.2378403552895,9
27000,28.3600158691406,17.753532409668,27.3592763111178,10
27150,29.6865196228027,18.3306732177734,26.998001778167,9
27300,28.1567516326904,17.6390266418457,27.0767930120676,9
27450,28.667501449585,18.1623229980469,26.9925476669611,9
27600,28.8956089019775,18.1312160491943,27.1309447503831,11
27750,27.2084369659424,17.0674724578857,27.2339271616996,10
27900,27.5861358642578,17.5756301879883,27.2408878811816,9
28050,27.1256465911865,17.9136791229248,27.2651763706898,10
28200,27.191291809082,17.6153335571289,26.9770296635633,11
28350,27.5572853088379,17.3976097106934,27.1206595457536,11
28500,27.9487781524658,17.4047985076904,27.1337868642326,11
28650,27.52858543396,17.2804889678955,27.2178328840125,13
28800,27.8644046783447,17.7014236450195,27.2842019988263,12
28950,28.4287414550781,18.5526962280273,27.0372076934687,11
29100,27.3665542602539,18.510311126709,27.3082614093418,11
29250,28.0914363861084,17.8353652954102,27.3244138900123,12
29400,27.7855548858643,17.4011554718018,27.260355927721,12
29550,27.5920486450195,17.628381729126,27.0081012372327,14
29700,27.458927154541,17.383846282959,27.0224163101308,15
29850,27.25705909729,17.3920669555664,26.9435482793663,11
30000,27.9667949676514,17.8768539428711,27.1045596598679,13
30150,27.8290424346924,17.078893661499,27.2034384209889,11
30300,28.2345466613769,17.6410427093506,27.0887055743919,11
30450,27.4728450775146,17.0579280853271,27.0649680164738,14
30600,27.5518836975098,17.319450378418,26.8577779336611,12
30750,28.7213459014893,17.718053817749,27.0511942299088,11
30900,27.8642082214355,17.7705535888672,27.1503860214992,10
31050,28.1361904144287,17.2948265075684,27.0111372231237,10
31200,28.4375820159912,17.5153770446777,26.8538542554045,13
31350,28.0905284881592,16.8221492767334,26.7701272770816,12
31500,27.9587116241455,17.261209487915,26.8253970836809,13
31650,27.3565464019775,18.6014251708984,26.9498383161925,12
31800,27.6104431152344,18.0528869628906,27.0721229218229,12
31950,26.671085357666,17.3831005096436,26.9630435851931,11
32100,27.1155967712402,17.1956062316895,26.957192135253,11
32250,27.4113693237305,17.71506690979,27.3722780812694,13
32400,26.7617492675781,17.9351005554199,26.973167588254,12
32550,27.4270210266113,17.696813583374,27.1385706950579,12
32700,27.5756340026855,17.9272270202637,27.1011557026989,13
32850,27.8631916046143,18.451358795166,27.2360319203275,12
33000,26.247522354126,17.3659934997559,26.9729185984447,15
33150,26.3873176574707,17.6267585754395,26.9216979515955,12
33300,25.6567039489746,17.9061756134033,27.0223208125425,13
33450,26.4090461730957,17.6563720703125,26.924803401284,10
33600,26.6679420471191,18.5711841583252,26.9207261887663,10
33750,26.5644969940186,17.5429420471191,26.8657302542547,14
33900,26.7165260314941,17.2037086486816,27.0379057220105,12
34050,26.6084098815918,18.0014801025391,27.1184676014446,13
34200,26.599910736084,17.3251113891602,26.9491852940252,12
34350,26.9473609924316,17.6654853820801,27.0105899165089,12
34500,27.1312408447266,17.553337097168,26.9596903233964,14
34650,26.4316654205322,18.2300415039062,26.9258684521767,15
34800,27.5257225036621,17.6503582000732,26.8653442799336,14
34950,27.101146697998,16.9443759918213,26.9751166526187,14
35100,26.4498271942139,17.8617725372314,26.9520988981929,16
35250,27.4669666290283,17.837553024292,27.0828368315429,13
35400,27.4748973846436,18.0137901306152,26.9768675217502,12
35550,27.7175140380859,17.5161590576172,27.0213045153758,15
35700,27.2171592712402,17.2500629425049,26.9311896745738,13
35850,27.8269901275635,18.2488098144531,26.8483425525008,12
36000,26.7075977325439,17.8584899902344,26.8378294765915,13
36150,26.9794025421143,17.9298858642578,26.8694086705431,13
36300,26.4973068237305,16.9457321166992,26.8476245179202,13
36450,27.0421752929687,17.9488220214844,26.8275117252924,13
36600,27.2185134887695,17.7506542205811,26.8855020084211,13
36750,26.7882709503174,16.9790592193604,26.7865381234702,14
36900,27.1294364929199,17.4668960571289,26.8198358655446,15
37050,27.7587947845459,17.4489765167236,26.8249419435164,13
37200,29.1514854431152,17.263334274292,27.0101567167091,14
37350,28.476583480835,18.3641891479492,27.0513160915385,14
37500,27.4939556121826,18.3677406311035,27.0346399843255,16
37650,28.2519569396973,18.0904006958008,27.0297482428314,17
37800,27.8856945037842,18.0130214691162,27.0389099968029,15
37950,27.4411506652832,17.8025665283203,27.0291836207945,12
38100,27.2237720489502,19.0219116210938,27.0806911404853,14
38250,27.1901798248291,18.0877094268799,27.0774373294134,15
38400,28.0150623321533,17.8336048126221,27.2220327270812,15
38550,27.0941123962402,18.3689880371094,27.0453234432142,14
38700,27.3953094482422,18.2810707092285,27.2515547945777,15
38850,28.207426071167,17.0577125549316,27.2387153345851,14
39000,28.9535942077637,17.6669101715088,27.2800926648948,15
39150,28.3947677612305,17.8824939727783,27.1863310817721,16
39300,27.1640396118164,17.9806365966797,27.2103418123759,15
39450,27.6984024047852,17.7217082977295,27.2191555723333,14
39600,27.9625225067139,18.1496543884277,27.3349892127614,15
39750,28.3646392822266,17.5923290252686,27.1958834053055,14
39900,27.7505149841309,17.3190021514893,27.0804442627795,14
40050,28.3122577667236,17.6957263946533,27.2146218375159,14
40200,27.1210880279541,17.556001663208,27.0493139388329,14
40350,27.8765335083008,17.5990123748779,27.1944622349635,14
40500,29.0833129882812,18.1733074188232,27.2329727470688,16
40650,28.3825817108154,17.7555847167969,26.9341146631435,13
40800,28.1659297943115,17.8027019500732,27.1844948766461,14
40950,28.8807029724121,17.693229675293,27.1895910311731,15
41100,28.4442462921143,17.610294342041,27.1653710196113,13
41250,28.7116279602051,16.7327270507813,27.1907685329191,13
41400,27.793212890625,18.1079502105713,27.2891313460045,14
41550,28.1662006378174,17.7860221862793,27.3369489951749,14
41700,28.7069530487061,17.8417797088623,27.4219190406753,14
41850,28.5501708984375,18.1874866485596,27.3481639068875,13
42000,28.9387912750244,18.258264541626,27.1854217711152,12
42150,29.3772048950195,17.8026714324951,27.3070744019819,14
42300,27.0809555053711,18.001781463623,27.3007025239028,16
42450,28.7080745697021,17.1571674346924,27.2811645279696,15
42600,29.3326015472412,17.3941383361816,27.4715925150584,14
42750,28.6691436767578,16.6203804016113,27.4262915859357,15
42900,28.9203491210937,17.4772720336914,27.3988414491423,13
43050,28.1017208099365,17.3622570037842,27.4875472429447,17
43200,28.4852046966553,17.8864574432373,27.4353181934507,12
43350,28.6897563934326,17.5875415802002,27.3064242629727,11
43500,28.3853626251221,17.0110530853271,27.3543901764071,12
43650,28.569917678833,17.6183757781982,27.2986232744036,15
43800,27.748477935791,17.9265251159668,27.5683014212896,11
43950,28.0367813110352,17.5102138519287,27.4063330866471,10
44100,27.9281311035156,17.6819801330566,27.1839377926622,11
44250,27.9521827697754,17.5569229125977,27.2965254030818,10
44400,27.8767623901367,18.2345180511475,27.2609776605474,12
44550,28.5145645141602,17.1473827362061,27.2837936861902,12
44700,29.1766128540039,17.6336193084717,27.5403263271578,11
44850,28.3235282897949,18.0939235687256,27.5903084263515,12
45000,29.3148155212402,17.6878795623779,27.6630544860866,11
45150,28.0081748962402,18.3938827514648,27.5537496582381,13
45300,27.9518604278564,18.0620269775391,27.5779527677315,11
45450,29.1455631256103,17.2986831665039,27.3251763648997,11
45600,28.4502964019775,17.3089733123779,27.3205234051023,16
45750,28.9328212738037,17.7016582489014,27.3996106075723,13
45900,27.0704689025879,18.3719520568848,27.5417910695184,11
46050,27.8869247436523,17.4860248565674,27.4432272130126,10
46200,27.0434951782227,18.181324005127,27.3747294209376,11
46350,28.0936470031738,17.9756774902344,27.4213270413781,10
46500,28.404712677002,17.6976928710938,27.512222433569,10
46650,26.9736251831055,17.7577075958252,27.4007376481883,10
46800,27.1363544464111,17.8951396942139,27.4331686035241,8
46950,27.8592948913574,17.2601165771484,27.5610094254418,11
47100,27.131441116333,17.9122066497803,27.3671027260245,13
47250,27.4534378051758,17.8230247497559,27.496331654355,14
47400,27.6136722564697,17.5148735046387,27.5392325088973,12
47550,27.1860027313232,17.2547912597656,27.5677762187172,15
47700,27.2875061035156,17.0211849212646,27.5224709621314,11
47850,26.7729663848877,17.4989185333252,27.2543688759982,12
