#Simulation Analysis Results CSV File 2019-06-08T19:02:45.149537,,
"#Generated on structure: ""frame000000""",,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_FMN - Heme
7500,36.9760055541992,15.5970115661621
7650,34.5179634094238,16.5233020782471
7800,33.6958312988281,16.4584407806396
7950,36.9116706848145,17.2032604217529
8100,36.2519340515137,17.4518070220947
8250,34.7125701904297,15.9331407546997
8400,36.7897262573242,16.5309619903564
8550,34.531925201416,16.2879829406738
8700,33.0278244018555,16.6696338653564
8850,33.1157379150391,15.7158555984497
9000,33.3429336547852,16.7753200531006
9150,33.325511932373,15.362813949585
9300,33.8573341369629,15.8735771179199
9450,33.6294174194336,15.5603351593018
9600,33.537670135498,15.4100952148438
9750,33.1457061767578,15.5305290222168
9900,33.4557762145996,15.0411014556885
10050,32.8831443786621,16.0787982940674
10200,33.8400192260742,15.9203577041626
10350,34.3349723815918,16.8081188201904
10500,36.0226898193359,16.3776607513428
10650,36.2438583374023,15.6481647491455
10800,36.9292869567871,17.2955093383789
10950,35.778263092041,17.0910396575928
11100,35.8201866149902,18.9459285736084
11250,36.4448356628418,17.7605876922607
11400,35.2848434448242,17.4565773010254
11550,33.8267440795898,17.5034084320068
11700,33.5518798828125,16.2077770233154
11850,35.1529273986816,17.1735172271729
12000,33.4109725952148,17.1845970153809
12150,33.789867401123,17.7220554351807
12300,34.1601715087891,18.347541809082
12450,34.8140029907227,16.4690551757813
12600,34.6330490112305,15.9328260421753
12750,35.0511932373047,17.3464488983154
12900,36.2108116149902,16.5719528198242
13050,32.8537940979004,16.8392887115479
13200,33.1228332519531,15.7580480575562
13350,33.3985900878906,17.2642726898193
13500,33.5041465759277,16.7806434631348
13650,32.0925521850586,17.1156330108643
13800,32.0527572631836,17.2077445983887
13950,32.7880592346191,17.3645877838135
14100,30.7621116638184,17.6127376556396
14250,31.1903514862061,17.3893642425537
14400,32.0615768432617,16.151912689209
14550,32.6015510559082,17.0792140960693
14700,32.3590087890625,17.3188858032227
14850,33.3011054992676,16.095890045166
15000,33.0969619750977,16.53564453125
15150,32.7364730834961,15.8899593353271
15300,32.7203559875488,15.982928276062
15450,32.5646820068359,16.3897247314453
15600,32.9264678955078,15.6600160598755
15750,32.4301490783691,16.6573925018311
15900,31.7478466033936,17.0306854248047
16050,31.4474716186523,17.333309173584
16200,32.0966567993164,16.9085254669189
16350,32.1802177429199,16.7845325469971
16500,33.0035820007324,16.3897132873535
16650,31.5403232574463,16.8951683044434
16800,33.1796112060547,16.7992172241211
16950,32.6413879394531,16.9171504974365
17100,31.7648773193359,16.2754936218262
17250,32.3036613464355,17.1047554016113
17400,32.5757255554199,16.2630710601807
