#Simulation Analysis Results CSV File 2019-04-26T18:19:48.849447
#Generated on structure: "frame000530"
TimeStep,Energy_Coulomb_Self_Unnamed,Energy_Coulomb_Solute_Unnamed,Energy_Coulomb_Membrane_Unnamed,Energy_Coulomb_Solvent_Unnamed,Energy_Coulomb_Other_Unnamed,Energy_vdW_Self_Unnamed,Energy_vdW_Solute_Unnamed,Energy_vdW_Membrane_Unnamed,Energy_vdW_Solvent_Unnamed,Energy_vdW_Other_Unnamed,Energy_Bond_Self_Unnamed,Energy_Bond_Solute_Unnamed,Energy_Bond_Membrane_Unnamed,Energy_Bond_Solvent_Unnamed,Energy_Bond_Other_Unnamed,Energy_Angle_Self_Unnamed,Energy_Angle_Solute_Unnamed,Energy_Angle_Membrane_Unnamed,Energy_Angle_Solvent_Unnamed,Energy_Angle_Other_Unnamed,Energy_Torsion_Self_Unnamed,Energy_Torsion_Solute_Unnamed,Energy_Torsion_Membrane_Unnamed,Energy_Torsion_Solvent_Unnamed,Energy_Torsion_Other_Unnamed,Energy_Total_Self_Unnamed,Energy_Total_Solute_Unnamed,Energy_Total_Membrane_Unnamed,Energy_Total_Solvent_Unnamed,Energy_Total_Other_Unnamed
2640.0,6104.6456,-257.298408,-216.196078,-12574.3117,-6.96800195,-1551.8285299999998,-105.772158,-244.227909,-509.676505,-0.143633041,1991.67921,0.0,0.0,0.0,0.0,5273.27222,0.0,0.0,0.0,0.0,2728.03289,0.0,0.0,0.0,0.0,47054.2834,-361.256784,-1383.98685,-21010.4995,-309.13174
2760.0,5970.534659999999,-282.584775,-222.675843,-12543.2347,-2.99728795,-1512.0398399999995,-99.878557,-216.33272,-564.026515,-0.0607264534,1923.66146,0.0,0.0,0.0,0.0,5305.78139,0.0,0.0,0.0,0.0,2832.90774,0.0,0.0,0.0,0.0,47180.2484,-417.636703,-1427.0689,-21431.6813,-117.07219
2880.0,5926.949629999999,-262.589174,-176.442344,-12137.4398,-27.6230486,-1518.7786399999995,-101.486875,-225.364688,-654.926263,2.42046295,1960.21333,0.0,0.0,0.0,0.0,5324.43401,0.0,0.0,0.0,0.0,2765.32557,0.0,0.0,0.0,0.0,46917.7045,-387.870661,-1428.52146,-20683.5689,-195.746598
3000.0,5987.253570000001,-252.433741,-169.891467,-12451.1353,-12.3393981,-1525.913,-108.4688,-222.226931,-638.444178,0.598504422,1964.7553,0.0,0.0,0.0,0.0,5212.49703,0.0,0.0,0.0,0.0,2737.3527,0.0,0.0,0.0,0.0,46910.9177,-416.14652,-1305.61092,-21097.354,-258.257784
3120.0,5996.13553,-254.425003,-146.996978,-12433.1902,-0.402882421,-1541.6767899999995,-85.2138085,-256.326517,-602.155861,-0.025442139,1934.70222,0.0,0.0,0.0,0.0,5281.01141,0.0,0.0,0.0,0.0,2746.43146,0.0,0.0,0.0,0.0,46979.4371,-352.092293,-1378.7034,-21267.3835,-94.5106996
3240.0,5968.94067,-255.187271,-203.825267,-12457.3908,-0.0386669307,-1518.86168,-95.8431912,-236.255947,-538.502223,-0.00823120784,2094.25751,0.0,0.0,0.0,0.0,5334.59393,0.0,0.0,0.0,0.0,2817.59528,0.0,0.0,0.0,0.0,47214.77,-351.830933,-1432.74842,-21244.81,-8.95698141
3360.0,5920.470020000001,-247.06322,-204.192937,-12273.9783,4.24922304,-1453.2873300000006,-90.7127055,-238.294639,-634.365055,-0.095225959,1967.73252,0.0,0.0,0.0,0.0,5283.0248,0.0,0.0,0.0,0.0,2807.52619,0.0,0.0,0.0,0.0,47028.6536,-391.965271,-1446.32426,-20836.0297,-227.879396
3480.0,6100.17325,-243.606137,-202.612989,-12521.991,0.0594553119,-1538.0535700000005,-98.0609863,-229.223359,-611.613764,-0.0164910322,1999.24293,0.0,0.0,0.0,0.0,5186.46464,0.0,0.0,0.0,0.0,2794.76163,0.0,0.0,0.0,0.0,47140.518,-350.400418,-1366.50987,-21167.8427,-166.664265
3600.0,5998.80845,-228.060197,-201.888745,-12350.8208,-3.66979944,-1515.1946699999999,-89.7679274,-226.620651,-666.791798,-0.0632482898,2042.03198,0.0,0.0,0.0,0.0,5252.81123,0.0,0.0,0.0,0.0,2779.08555,0.0,0.0,0.0,0.0,46978.0015,-388.961904,-1319.40075,-20875.8013,-203.560565
3720.0,5880.59548,-239.652381,-170.738745,-12405.9451,-32.3032802,-1515.8483600000004,-81.5755442,-259.824537,-551.670533,4.63648494,1960.77029,0.0,0.0,0.0,0.0,5320.31228,0.0,0.0,0.0,0.0,2822.6124,0.0,0.0,0.0,0.0,46840.4623,-366.633885,-1268.14033,-20839.8522,-261.017467
3840.0,6041.92614,-251.208133,-216.825448,-12506.8069,-0.720486037,-1490.9003300000004,-70.1447428,-240.752738,-581.433391,-0.0139449386,2032.29261,0.0,0.0,0.0,0.0,5276.58586,0.0,0.0,0.0,0.0,2752.33488,0.0,0.0,0.0,0.0,47005.2259,-373.757006,-1448.93668,-20898.5066,-142.846653
3960.0,5831.95592,-217.852377,-191.921441,-12401.756,0.131736847,-1418.86947,-110.674896,-244.068208,-545.65296,-0.0118942347,1965.12039,0.0,0.0,0.0,0.0,5305.49686,0.0,0.0,0.0,0.0,2782.39963,0.0,0.0,0.0,0.0,46820.0796,-392.653099,-1311.16034,-20962.0859,-63.0389654
4080.0,5786.897500000001,-231.874627,-222.952963,-12237.3879,4.99765182,-1463.00992,-88.5287409,-236.936813,-572.891139,-0.0300280654,2058.97658,0.0,0.0,0.0,0.0,5307.44438,0.0,0.0,0.0,0.0,2783.22517,0.0,0.0,0.0,0.0,46875.1313,-330.964961,-1413.84645,-20588.3135,-213.379822
4200.0,5970.9855800000005,-230.047558,-251.948011,-12251.8679,-9.17820527,-1457.6579900000006,-98.5858485,-257.25456,-637.774859,0.942450724,1983.9062,0.0,0.0,0.0,0.0,5326.46605,0.0,0.0,0.0,0.0,2753.04114,0.0,0.0,0.0,0.0,47073.9749,-386.369761,-1484.64169,-20754.2601,-301.994428
4320.0,6038.953370000001,-237.359424,-257.337944,-12414.3056,-11.3230876,-1475.3462400000003,-89.7040258,-252.388145,-664.640385,1.59346103,1973.1567,0.0,0.0,0.0,0.0,5293.63741,0.0,0.0,0.0,0.0,2760.0756,0.0,0.0,0.0,0.0,47045.9846,-405.023874,-1561.83254,-20791.0527,-222.848603
4440.0,5864.31782,-249.397831,-288.50876,-12286.9184,-0.84570104,-1452.4701400000004,-88.2727132,-233.297426,-589.41607,-0.0432258838,1964.41749,0.0,0.0,0.0,0.0,5265.03933,0.0,0.0,0.0,0.0,2760.81542,0.0,0.0,0.0,0.0,46740.7423,-380.753117,-1623.04542,-20508.6315,-185.757078
4560.0,5937.088299999999,-244.453266,-269.924002,-12264.7816,-24.4692392,-1567.5844200000001,-97.4306856,-241.353543,-649.309776,3.05116759,2006.5173,0.0,0.0,0.0,0.0,5253.67996,0.0,0.0,0.0,0.0,2772.81938,0.0,0.0,0.0,0.0,46819.1656,-349.296463,-1606.40792,-20489.2647,-372.017048
4680.0,5855.543170000001,-254.099748,-244.505885,-12300.5856,-2.53516539,-1466.23799,-91.8820119,-255.305041,-530.009891,-0.0884897137,1961.39196,0.0,0.0,0.0,0.0,5305.34903,0.0,0.0,0.0,0.0,2840.46144,0.0,0.0,0.0,0.0,46785.9372,-348.83605,-1468.55358,-20356.1583,-359.685494
4800.0,5768.9967,-257.655883,-278.045451,-12111.5308,-19.2318935,-1486.1038800000006,-92.3395401,-252.174878,-486.155495,0.617284552,2026.11752,0.0,0.0,0.0,0.0,5321.39177,0.0,0.0,0.0,0.0,2698.01322,0.0,0.0,0.0,0.0,46702.8717,-373.607161,-1648.59546,-19890.4975,-487.094454
4920.0,5911.723969999999,-256.751663,-236.675531,-12255.0862,-2.2475071,-1493.0670599999999,-94.6357622,-236.389877,-664.959031,-0.0778227908,1991.96295,0.0,0.0,0.0,0.0,5348.9652,0.0,0.0,0.0,0.0,2774.48641,0.0,0.0,0.0,0.0,46981.9495,-398.941572,-1472.99779,-20576.502,-310.667844
5040.0,5995.86182,-247.056884,-233.753598,-12352.0335,-45.2517911,-1468.2385800000002,-100.578125,-232.23867,-559.146426,4.09327183,2064.70254,0.0,0.0,0.0,0.0,5191.6045,0.0,0.0,0.0,0.0,2734.5187,0.0,0.0,0.0,0.0,47025.7016,-374.043817,-1486.70621,-20824.146,-403.452348
5160.0,6013.01972,-251.858408,-207.989965,-12596.076,-3.45626593,-1525.2436199999997,-93.6861986,-251.435835,-455.29061,-0.238868782,1956.77309,0.0,0.0,0.0,0.0,5377.19703,0.0,0.0,0.0,0.0,2778.63006,0.0,0.0,0.0,0.0,47087.0322,-374.343888,-1424.1745,-20758.1549,-383.439079
5280.0,6022.7268,-281.3546,-226.636711,-12307.9685,-11.2542917,-1475.6348600000006,-91.8238239,-240.987234,-694.814293,0.871803877,2002.73573,0.0,0.0,0.0,0.0,5275.32192,0.0,0.0,0.0,0.0,2750.09466,0.0,0.0,0.0,0.0,47012.0413,-428.299484,-1412.08066,-20843.9121,-255.602678
5400.0,5997.100409999999,-274.763961,-216.91058,-12355.6968,-9.63230334,-1544.5219899999997,-82.312839,-266.203353,-594.036941,0.511603257,2037.11994,0.0,0.0,0.0,0.0,5213.65281,0.0,0.0,0.0,0.0,2790.13628,0.0,0.0,0.0,0.0,46809.7288,-430.476699,-1485.81799,-20400.7984,-376.797906
5520.0,5939.44011,-267.827532,-256.124427,-12231.5114,-56.1465631,-1502.1900300000002,-85.0735776,-239.911594,-658.241667,6.42840076,2036.60047,0.0,0.0,0.0,0.0,5192.32473,0.0,0.0,0.0,0.0,2742.48945,0.0,0.0,0.0,0.0,46829.4478,-372.659036,-1615.61351,-20484.8277,-376.904327
5640.0,5960.1487799999995,-274.313711,-285.275484,-12381.9454,-91.4525418,-1508.9394000000002,-82.5611603,-231.792585,-531.454685,12.730182,1983.17374,0.0,0.0,0.0,0.0,5305.8606,0.0,0.0,0.0,0.0,2711.32328,0.0,0.0,0.0,0.0,46967.8833,-431.765474,-1620.49804,-20423.6527,-506.846885
5760.0,6043.089249999999,-268.817883,-258.881085,-12305.0843,-83.0527803,-1495.3265099999999,-98.9777845,-235.297304,-612.943003,6.92847976,1997.15024,0.0,0.0,0.0,0.0,5314.71541,0.0,0.0,0.0,0.0,2664.47767,0.0,0.0,0.0,0.0,46931.5183,-444.933564,-1597.37702,-20323.2227,-547.070764
5880.0,6042.883449999999,-277.34303,-259.013188,-12355.0446,-92.7151596,-1526.4005600000005,-90.3782646,-236.144204,-572.449377,11.5816548,1958.18863,0.0,0.0,0.0,0.0,5398.10543,0.0,0.0,0.0,0.0,2687.55333,0.0,0.0,0.0,0.0,46944.1774,-457.550797,-1639.55564,-20146.5327,-580.327054
6000.0,5961.463760000001,-273.471494,-297.515751,-12350.6278,-81.5330274,-1532.2869799999994,-94.5103387,-255.635761,-556.300124,9.14818245,1995.16967,0.0,0.0,0.0,0.0,5300.37533,0.0,0.0,0.0,0.0,2766.04267,0.0,0.0,0.0,0.0,46894.4746,-429.759108,-1677.81571,-20357.1617,-402.337066
6120.0,5915.12154,-292.499217,-274.123009,-12213.8423,-89.1262935,-1521.3162400000006,-83.7996277,-227.0415,-569.90365,11.3498258,2037.27724,0.0,0.0,0.0,0.0,5254.48803,0.0,0.0,0.0,0.0,2720.12723,0.0,0.0,0.0,0.0,46816.1369,-445.87293,-1411.11945,-20338.0729,-553.372383
6240.0,5881.878480000001,-282.955893,-270.28218,-12098.9095,-130.530611,-1486.3759099999997,-91.3825261,-246.169742,-563.91218,21.3249933,1985.56747,0.0,0.0,0.0,0.0,5338.95617,0.0,0.0,0.0,0.0,2771.79357,0.0,0.0,0.0,0.0,46889.0831,-487.660739,-1536.98043,-20012.4261,-617.780297
6360.0,5976.3763100000015,-255.444541,-242.703611,-12136.0742,-89.8637893,-1416.1929599999999,-99.8030837,-252.526103,-628.242117,9.4307993,1994.31785,0.0,0.0,0.0,0.0,5269.38312,0.0,0.0,0.0,0.0,2710.37439,0.0,0.0,0.0,0.0,46880.5455,-466.146295,-1487.27632,-20133.7829,-572.287941
6480.0,5925.1950099999995,-280.560994,-224.160187,-12141.5732,-105.604641,-1550.2105400000005,-86.8769997,-253.811839,-528.460448,12.5306206,2001.67548,0.0,0.0,0.0,0.0,5338.76068,0.0,0.0,0.0,0.0,2858.15693,0.0,0.0,0.0,0.0,46920.2215,-437.717211,-1574.58997,-19958.3305,-729.196977
6600.0,5798.087309999999,-285.210135,-253.732839,-12117.996,-31.8399066,-1444.2407899999998,-77.7207802,-260.67884,-552.634682,4.63602838,2018.43475,0.0,0.0,0.0,0.0,5222.27994,0.0,0.0,0.0,0.0,2711.56728,0.0,0.0,0.0,0.0,46794.7451,-437.198916,-1475.30056,-20381.7565,-354.364345
