#Simulation Analysis Results CSV File 2019-06-07T11:39:57.634739,,,
"#Generated on structure: ""frame000000""",,,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_FMN_C7M-heme_Fe,Rad_Gyration_CPR-glob
11250,31.2122707366943,14.722146987915,29.3166223084842
11400,29.4529495239258,17.1017780303955,29.1281964613596
11550,33.0798034667969,14.5971212387085,29.6675618143426
11700,33.2865142822266,14.7540016174316,29.4279336708994
11850,31.9966831207275,16.1616153717041,29.3239953804093
12000,31.851261138916,15.4179534912109,29.3254037706726
12150,32.2575988769531,15.037446975708,29.000663090956
12300,32.4774055480957,16.3768844604492,29.2440597705895
12450,31.2064838409424,16.1155529022217,29.2540609271264
12600,31.2347450256348,16.1989078521729,28.8257518353451
12750,31.1821365356445,16.3192958831787,28.8593344593745
12900,31.9735851287842,16.3941707611084,28.8722502329777
13050,31.964111328125,16.1503849029541,28.804288537611
13200,31.2912063598633,17.1680679321289,28.5418883386965
13350,30.4971771240234,18.4479446411133,28.7784248252595
13500,31.3563003540039,18.6395397186279,28.6864749358013
13650,31.4125537872314,17.3538475036621,29.0581570099867
13800,31.3256072998047,17.1965579986572,28.917937775329
13950,30.7086124420166,16.9530944824219,28.8739835454351
14100,31.0107841491699,16.2248439788818,28.8792741037157
14250,28.3534755706787,16.5503940582275,28.7267978749459
14400,27.372034072876,17.1600112915039,28.4390846840775
14550,26.5740661621094,16.3073215484619,28.5788003113638
14700,27.4370613098145,17.5452785491943,28.4317564966001
14850,28.3810577392578,17.8803062438965,28.414744813104
15000,28.0868835449219,16.9649925231934,28.3697468585044
15150,28.1676921844482,17.0147705078125,28.32178356913
15300,27.6637744903564,18.2423305511475,28.3826920786174
15450,27.8518085479736,17.5570011138916,28.7882020405844
15600,25.4588680267334,17.7561931610107,28.1725666563308
15750,25.6864147186279,17.1341934204102,28.3777833894834
15900,24.872371673584,18.3717670440674,28.4246827566391
16050,25.7972831726074,17.68434715271,28.3057717871177
16200,25.5926990509033,17.7145252227783,28.6349885332442
16350,25.559965133667,16.8181667327881,28.455204338866
16500,23.3849754333496,18.1037483215332,28.1414169701998
16650,27.3618564605713,16.2579212188721,28.2547658755157
16800,26.0765342712402,16.1431350708008,28.164447101504
16950,26.4799156188965,15.5285949707031,28.1857634593019
17100,25.8125991821289,16.7289237976074,28.0371940992154
