#Simulation Analysis Results CSV File 2020-11-27T14:45:18.394300
#Generated on structure: "frame1"
TimeStep,Rad_Gyration_glob,Distance_FAD-FMN
12360.0,26.145,4.320200757112055
12480.0,26.038,5.209303125925157
12600.0,26.094,4.12869925071668
12720.0,26.098,4.6362200106924965
12840.0,25.994,4.596953522423738
12960.0,26.13,4.636549190728031
13080.0,26.06,4.305109775576444
13200.0,25.941,4.714026069225098
13320.0,26.037,4.755206299499843
13440.0,26.013,4.287994526984756
13560.0,26.111,5.033723563631605
13680.0,26.042,4.863568098358642
13800.0,26.025,5.138168555910634
13920.0,26.058,4.6217051615276565
14040.0,26.17,4.351382525970386
14160.0,26.12,4.425066607232386
14280.0,26.041,3.9688658039464766
14400.0,26.065,4.280625087590226
14520.0,25.97,4.49953160810735
14640.0,26.011,3.816747846884572
14760.0,26.038,4.146169513418879
14880.0,25.975,3.8497421388367092
15000.0,26.068,4.989106029506995
15120.0,26.054,3.829488988030972
15240.0,26.059,4.1266253774491535
15360.0,26.133,4.697425674015643
15480.0,26.106,4.558931925783408
15600.0,26.06,4.465224539474267
15720.0,26.069,4.088232819404154
15840.0,26.046,3.7676649063722736
15960.0,26.047,4.68558352879381
16080.0,26.0,4.254600962232707
16200.0,26.022,4.405223481106875
16320.0,26.11,4.0924890403211105
16440.0,26.161,4.027159834565285
16560.0,26.06,4.115777519483098
16680.0,26.075,4.919308217087658
16800.0,26.056,4.025791279660461
16920.0,26.205,4.226033289431631
17040.0,26.107,3.8429336651151873
17160.0,26.046,3.9093370353393464
17280.0,25.917,4.133862958876894
17400.0,26.043,4.752963491272084
17520.0,26.054,4.106242293538665
17640.0,26.064,4.854302133506501
17760.0,26.116,4.265654615651446
17880.0,26.112,3.978632479128185
18000.0,26.046,4.057489770008149
18120.0,26.081,4.176722153583355
18240.0,25.99,3.7683044739774054
18360.0,25.999,3.898741065805593
18480.0,26.119,4.4650004993895
18600.0,26.236,4.686348181536262
18720.0,26.012,4.468110835984398
18840.0,26.142,5.479045711135567
18960.0,26.096,4.222793939028786
19080.0,26.139,4.14239917414829
19200.0,26.169,4.128035549244294
19320.0,26.027,4.7208075550127555
19440.0,26.155,4.44378766663879
19560.0,26.072,4.469821248356601
19680.0,26.171,4.020295304237036
19800.0,26.038,4.461346969687178
19920.0,26.209,4.476752976716109
20040.0,26.118,4.455833167839651
20160.0,26.079,4.499659172487088
20280.0,26.07,4.449744218838611
20400.0,26.082,5.457064314730882
20520.0,26.126,4.700729389802588
20640.0,26.125,3.9762991234646563
20760.0,26.168,3.989788980088599
20880.0,26.087,4.496463045230875
21000.0,26.13,4.343019297123838
21120.0,26.185,5.287904581628919
21240.0,26.057,4.108036894249767
21360.0,26.202,3.7242537973760648
21480.0,26.169,4.691425526545443
21600.0,26.122,4.171394175293233
21720.0,26.203,3.679405577396562
21840.0,26.2,4.050377569650842
21960.0,26.166,4.32205345472335
22080.0,26.184,5.005897853042761
22200.0,26.172,4.665111268197929
22320.0,26.214,4.689162309346735
22440.0,26.066,4.299141749582015
22560.0,26.277,4.613596813905075
22680.0,26.219,4.260831354206683
22800.0,26.221,5.060814226431233
22920.0,26.163,4.159613333701295
23040.0,26.205,5.249498919970311
23160.0,26.125,4.270336329505534
23280.0,26.19,4.329837171048274
23400.0,26.144,5.799569289300959
23520.0,26.193,4.717384050666353
23640.0,26.103,4.501411905876066
23760.0,26.195,4.68353841504875
23880.0,26.113,4.3846449024444345
24000.0,26.151,4.330872739804956
24120.0,26.07,4.110535707280194
24240.0,26.164,4.325313201555078
24360.0,26.116,3.9831444887994354
24480.0,26.109,4.094116810852618
24600.0,26.176,3.789542236150693
24720.0,26.104,4.402902808870802
24840.0,26.188,4.0201233876142295
24960.0,26.044,3.6633512064842786
25080.0,26.061,4.298822780327351
25200.0,26.038,4.172466009593221
25320.0,26.065,3.846346851472011
25440.0,26.196,4.191389217611693
25560.0,26.136,4.006244175504122
25680.0,25.999,5.025431320238958
25800.0,26.178,4.686990540114027
25920.0,26.103,4.457736337738251
26040.0,26.173,3.4074582354556227
26160.0,25.999,3.6952402577133356
26280.0,26.231,4.081788107958228
26400.0,26.148,4.837098099359112
26520.0,26.154,4.275127326311908
26640.0,26.124,5.067763134802069
26760.0,26.11,3.815748293365388
26880.0,26.124,5.081758198412028
27000.0,26.126,4.967158388056651
27120.0,26.216,3.9130010674627758
27240.0,26.107,3.701804535835216
27360.0,26.168,3.5355386508070445
27480.0,26.235,4.314240799877389
27600.0,26.136,4.134643456205505
27720.0,26.185,3.810686825087597
27840.0,26.142,5.190523691462065
27960.0,26.089,4.465331627706357
28080.0,26.191,3.9704051882721334
28200.0,26.116,3.6408555357299437
28320.0,26.104,3.8437802283466618
28440.0,26.109,3.748926401302668
28560.0,26.247,4.3251310748566985
28680.0,26.229,3.7818207863616986
28800.0,26.245,3.884750610503209
28920.0,26.089,4.349856042713004
29040.0,26.236,3.92961234040615
29160.0,26.204,3.9562372756303263
29280.0,26.194,3.747654312685854
29400.0,26.251,3.593035595564185
29520.0,26.308,4.8062642878614525
29640.0,26.202,3.9450769548914635
29760.0,26.222,3.8805116745076003
29880.0,26.201,4.10977293223636
30000.0,26.165,4.685001764650822
30120.0,26.164,4.171122627056037
30240.0,26.061,4.391308674200695
30360.0,26.21,4.042380351320239
30480.0,26.121,4.052235010921243
30600.0,26.166,3.6842618775164127
30720.0,26.101,3.6567613155134016
30840.0,26.008,4.560070807142764
30960.0,26.142,3.462506627784885
31080.0,26.057,4.059829935399271
31200.0,26.075,4.7811576065299555
31320.0,26.09,3.779213336397795
31440.0,26.102,3.997307873974331
31560.0,26.063,3.8512072892016853
31680.0,26.12,4.623056052140848
31800.0,26.132,4.134357807507438
31920.0,26.162,3.721568078203411
32040.0,26.148,4.216775593949503
32160.0,26.067,4.568949816822814
32280.0,26.066,4.506320783696301
32400.0,25.999,4.16602630247828
32520.0,26.014,4.912426021235095
32640.0,26.02,4.4460801233744505
32760.0,26.093,4.008429958474824
32880.0,26.117,4.653631145622924
33000.0,25.991,4.1257199846186845
33120.0,26.196,4.237078950049874
33240.0,26.069,4.0477554850660615
33360.0,26.149,3.5215751175821857
33480.0,26.11,3.8633925817554453
33600.0,26.151,4.128315885579364
33720.0,25.981,3.9156674292663065
33840.0,26.07,3.8089614696589984
33960.0,26.072,3.797646643444774
34080.0,26.099,4.252474036430706
34200.0,26.134,4.772203705804921
34320.0,26.261,3.670832647875485
34440.0,26.239,4.106095412452056
34560.0,26.209,4.051006724469761
34680.0,26.281,3.821501128592799
34800.0,26.177,4.119124331499756
34920.0,26.28,4.795880433314274
35040.0,26.253,3.2514085726434674
35160.0,26.26,4.091399747628018
35280.0,26.199,4.608025384087116
35400.0,26.068,5.075541604751959
35520.0,26.099,4.1624867226392475
35640.0,26.137,4.452033935437161
